"script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed"
"051121","12:28:19","42","141927376","52945","1"
"051121","06:35:49","50","285977513","23910","1"
"051121","09:41:44","54","919575683","109819","1"
"051121","08:42:40","57","838866360","135033","1"
"051121","09:46:00","58","270202353","192666","1"
"050521","04:12:23","72","192911033","66675","1"
"051121","08:56:01","80","272222174","98262","1"
"051121","08:48:28","78","315653490","191946","1"
"051121","09:55:38","77","708142634","226929","1"
"051121","09:56:43","67","407142950","204313","1"
"051121","09:57:19","81","755867372","229719","1"
"051121","08:56:00","62","933264771","332708","1"
"051121","09:57:00","82","927227017","129840","1"
"051121","06:58:11","79","680045565","325910","1"
"051121","09:03:38","99","811246138","109884","1"
"051121","10:00:12","87","725152440","328068","1"
"051121","09:04:53","104","247056292","73311","1"
"051121","10:05:25","110","163974413","289000","1"
"051121","10:11:36","133","751679784","66488","1"
"051121","10:12:19","132","916221930","32792","1"
"051121","10:12:09","129","958173294","53163","1"
"051121","07:09:07","119","5601420","238119","1"
"050521","04:12:55","128","440792769","54265","1"
"051121","10:10:14","126","665189049","316208","1"
"051121","10:14:53","142","248285519","67851","1"
"051121","10:15:31","145","740515121","77674","1"
"051121","15:16:46","140","233933346","86564","1"
"051121","10:13:32","131","889420221","344646","1"
"051121","09:19:13","150","742347810","30600","1"
"051121","10:19:34","148","56786654","67352","1"
"051121","07:20:02","152","131549396","44162","1"
"051121","10:20:47","147","382769186","66233","1"
"051121","10:21:53","156","628988970","88032","1"
"050521","03:09:22","157","277070736","34767","1"
"051121","10:24:02","160","364825224","61089","1"
"051121","07:24:11","159","447879181","55551","1"
"051121","10:25:57","162","952080308","38154","1"
"051121","10:27:42","170","118210985","23617","1"
"051121","09:26:38","166","392235791","84294","1"
"051121","09:26:51","168","840600907","74071","1"
"051121","10:28:40","170","118210985","51148","1"
"051121","09:27:59","167","346991545","56344","1"
"051121","07:25:33","163","894702402","204490","1"
"051121","10:31:43","165","427582539","53788","1"
"051121","10:31:48","176","190604679","57261","1"
"051121","10:31:36","173","558507562","83379","1"
"051121","09:33:10","177","275447795","65887","1"
"051121","10:32:59","175","536423669","129221","1"
"051121","07:33:50","178","444738424","84797","1"
"051121","10:36:02","186","835121960","57565","1"
"051121","10:37:52","185","297189000","28418","1"
"051121","10:38:05","188","620796170","65851","1"
"051121","15:38:18","187","869220298","128828","1"
"051121","15:39:56","193","319817236","46874","1"
"051121","15:39:20","189","192776168","97916","1"
"051121","10:42:40","200","5028002","49876","1"
"050521","04:13:54","199","832675749","35753","1"
"051121","15:43:49","204","935107238","58840","1"
"051121","04:42:55","184","832289747","117564","1"
"051121","10:45:03","196","69221329","29333","1"
"051121","10:43:29","197","48920917","145340","1"
"051121","10:46:24","206","315983089","47755","1"
"051121","10:46:36","209","850693203","48265","1"
"051121","07:46:22","208","610160911","70037","1"
"051121","15:47:13","213","456870833","42750","1"
"051121","15:47:37","211","996906130","37672","1"
"051121","09:40:37","220","360223186","60812","1"
"051121","15:48:22","216","286423676","75133","1"
"051121","10:47:50","214","980110563","111128","1"
